Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
ID	n	Annotation_Type	Median_ratio	IQR	Mean_ratio	Standard_error
ko00523	1	KEGG_pathway	0	0	0	NA
ko04670	1	KEGG_pathway	0	0	0	NA
ko04711	1	KEGG_pathway	0	0	0	NA
ko04744	1	KEGG_pathway	0	0	0	NA
ko05410	1	KEGG_pathway	0	0	0	NA
ko05412	1	KEGG_pathway	0	0	0	NA
ko04390	8	KEGG_pathway	0	0	0.00112729526172897	0.00112729526172897
ko04391	6	KEGG_pathway	0	0	0.00150306034897196	0.00150306034897196
ko00440	2	KEGG_pathway	0.00308174833948432	0.00308174833948432	0.00308174833948432	0.00308174833948432
ko04940	1	KEGG_pathway	0.00499032185086555	0	0.00499032185086555	NA
ko04015	4	KEGG_pathway	0.00724221062433985	0.01617683297832	0.00893462235398012	0.00534028686912009
ko04350	7	KEGG_pathway	0	0.0178692447079602	0.009416312830176	0.00475954713658159
ko04360	5	KEGG_pathway	0.0137339730209164	0.0144844212486797	0.00989449248736738	0.00424647488861841
ko04662	5	KEGG_pathway	0.0137339730209164	0.0144844212486797	0.00989449248736738	0.00424647488861841
ko04917	3	KEGG_pathway	0.0144844212486797	0.0106270340836204	0.0119128298053068	0.00626880279181895
ko05133	3	KEGG_pathway	0.0144844212486797	0.0106270340836204	0.0119128298053068	0.00626880279181895
ko04380	4	KEGG_pathway	0.014109197134798	0.00587635321263268	0.0123681156092092	0.00445603292005272
ko04650	4	KEGG_pathway	0.014109197134798	0.00587635321263268	0.0123681156092092	0.00445603292005272
ko04623	12	KEGG_pathway	0	0.012831139408526	0.0137965043049107	0.00692229115953596
ko05164	15	KEGG_pathway	0.00421493503091797	0.0181703286420192	0.0144560944683966	0.00629074515840249
ko05221	3	KEGG_pathway	0.0144844212486797	0.005193558560631	0.0155351468206331	0.00304417852593937
ko04721	20	KEGG_pathway	0.00308415390846987	0.0228647605783127	0.0169144980430196	0.00535799106767573
ko04966	11	KEGG_pathway	0	0.0252717587449015	0.0172190268968458	0.00818695108674728
ko04013	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko04320	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko04620	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko04668	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko05140	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko05219	2	KEGG_pathway	0.0178692447079602	0.00338482345928055	0.0178692447079602	0.00338482345928055
ko05110	21	KEGG_pathway	0	0.030085755078079	0.0182898750346875	0.00536809902771846
ko05120	13	KEGG_pathway	0	0.030085755078079	0.0185418520805065	0.00752392306665674
ko05323	13	KEGG_pathway	0	0.030085755078079	0.0185418520805065	0.00752392306665674
ko04130	13	KEGG_pathway	0	0.0117488475324079	0.0188467581649148	0.0110674548195401
ko04962	8	KEGG_pathway	0.0194578997894608	0.0151307097203474	0.0207683529087502	0.00598845963057033
ko05160	9	KEGG_pathway	0.00901836209383177	0.0144844212486797	0.0220682637560593	0.0149069347775671
ko04915	12	KEGG_pathway	0.0197994290853497	0.0132391736518584	0.0223900729434004	0.00617696613084387
ko04062	6	KEGG_pathway	0.0222632188322755	0.00801509193949278	0.0232872453167974	0.00754888265442928
ko03020	20	KEGG_pathway	0.00662787471879149	0.0370944604518679	0.0233628119478113	0.00775485400204844
ko05142	7	KEGG_pathway	0.00901836209383177	0.0141293478881557	0.0236501110057022	0.0152156015422995
ko01051	1	KEGG_pathway	0.0246523006501776	0	0.0246523006501776	NA
ko04340	7	KEGG_pathway	0.0232723694973102	0.0347359365236984	0.0248977891239687	0.00922832945909841
ko05130	9	KEGG_pathway	0	0.0233322957640353	0.0257479245515394	0.0132303555205573
ko05414	4	KEGG_pathway	0.0238854064443119	0.0149730978195626	0.025996245621216	0.0115419186317282
ko00471	1	KEGG_pathway	0.0266659551981191	0	0.0266659551981191	NA
ko04961	9	KEGG_pathway	0.0232723694973102	0.0395960827386425	0.0277547398655849	0.00797310684552017
ko05216	3	KEGG_pathway	0.0212540681672408	0.0170343707444986	0.0280972173845325	0.0104129935668315
ko04370	5	KEGG_pathway	0.0144844212486797	0.0075200951463244	0.0287792959069797	0.0167702288713269
ko05217	2	KEGG_pathway	0.0295294007213799	0.0295294007213799	0.0295294007213799	0.0295294007213799
ko04710	3	KEGG_pathway	0	0.0447236927979583	0.0298157951986389	0.0298157951986389
ko04630	1	KEGG_pathway	0.0301757003953115	0	0.0301757003953115	NA
ko04660	6	KEGG_pathway	0.014109197134798	0.0161281631823714	0.031477698159075	0.0218599283252944
ko04520	7	KEGG_pathway	0.0212540681672408	0.0301905698204327	0.0325454279118592	0.0111600060284264
ko03050	35	KEGG_pathway	0.0159060984277255	0.0431131983278372	0.0326941640232767	0.00804222257723449
ko04916	9	KEGG_pathway	0.0232723694973102	0.0156912791466318	0.0330679188543788	0.0130931020034762
ko04964	3	KEGG_pathway	0.0266659551981191	0.0268649365934324	0.0337821757192207	0.0159133619331665
ko04930	6	KEGG_pathway	0.0126756861473292	0.0168449186761058	0.0346248345882702	0.0255301120792171
ko04913	3	KEGG_pathway	0.0244984433913136	0.0164709000494651	0.034661660828288	0.0107820652001813
ko05146	3	KEGG_pathway	0.0244984433913136	0.0164709000494651	0.034661660828288	0.0107820652001813
ko04012	5	KEGG_pathway	0.0144844212486797	0.010387117121262	0.0348635075710425	0.0234655955788693
ko05169	60	KEGG_pathway	0.0205270599987784	0.0530581471795901	0.0355663708278293	0.00613828809742801
ko04910	17	KEGG_pathway	0.0212540681672408	0.0381841444707293	0.0356447897974058	0.0116023053973058
ko05020	7	KEGG_pathway	0.0232723694973102	0.0224870617858167	0.0358201817388209	0.0129240873935395
ko04621	5	KEGG_pathway	0.0183447900034587	0.0067696469185611	0.0359531514183116	0.0227277417511237
ko05322	99	KEGG_pathway	0	0.00864629712377745	0.0361448867142858	0.0124535468951489
ko05145	13	KEGG_pathway	0.0212540681672408	0.0174459989345574	0.0369341198629454	0.0117293132402869
ko00190	58	KEGG_pathway	0.0234441035237463	0.0514878114754377	0.0369513422640826	0.00592741740270284
ko05416	3	KEGG_pathway	0	0.055733051093698	0.0371553673957987	0.0371553673957987
ko04740	7	KEGG_pathway	0.0244984433913136	0.0309700731596317	0.0372422037283586	0.0167219712243055
ko04912	7	KEGG_pathway	0.0232723694973102	0.0224870617858167	0.0382050813277282	0.0162248529176467
ko04750	6	KEGG_pathway	0.0238854064443119	0.0424671456706811	0.0386161799796962	0.0197188010599571
ko04261	17	KEGG_pathway	0.0144844212486797	0.051359970412237	0.039405409343741	0.016590332417628
ko05220	5	KEGG_pathway	0.0212540681672408	0.0464795837629408	0.039563096775877	0.0184062316662394
ko04932	28	KEGG_pathway	0.0277166844114394	0.0484423848384547	0.0399992034295914	0.0092788052862368
ko05202	33	KEGG_pathway	0	0.0367098249488208	0.0400586759815026	0.0152168088504825
ko05016	65	KEGG_pathway	0.0264304446357688	0.0507025213339091	0.0403911366030401	0.00772937016275911
ko05131	8	KEGG_pathway	0.0214146681830626	0.0650652837247563	0.0414911916756271	0.013936393878199
ko04260	7	KEGG_pathway	0.0264304446357688	0.0312937079011084	0.0418175630012472	0.0185673391063213
ko00232	2	KEGG_pathway	0.0420468419153502	0.0293878930847466	0.0420468419153502	0.0293878930847466
ko04728	14	KEGG_pathway	0.00376000651971017	0.0241919249178128	0.0422375647820337	0.0249708580648328
ko00290	11	KEGG_pathway	0.0376105977964316	0.0338701258651048	0.0425146323004228	0.0138104478512231
ko00710	31	KEGG_pathway	0.0257872709114545	0.0569544599961815	0.04375358986741	0.01207743834751
ko04976	8	KEGG_pathway	0.0320128194752055	0.0340200079226684	0.0438339370952395	0.00993830322732592
ko00680	27	KEGG_pathway	0.0372136734889525	0.0347286960844093	0.0439787177474633	0.00694854260568897
ko05034	110	KEGG_pathway	0	0.0387854666748856	0.0444299240302109	0.0120809586432518
ko03040	91	KEGG_pathway	0.0321803291880651	0.057726767238613	0.0444795708094047	0.00513972755487475
ko00253	3	KEGG_pathway	0.050906059092189	0.0328647184692579	0.0447181558484986	0.0192250472906097
ko01230	106	KEGG_pathway	0.0355839057159084	0.0392096920891262	0.0449612220465018	0.00508213643785758
ko05100	7	KEGG_pathway	0.0215752681988845	0.0657595593264254	0.045094487579882	0.0155356893036104
ko04151	20	KEGG_pathway	0.00826918756662606	0.0252460696049241	0.0451893269654128	0.0232588342761066
ko04977	2	KEGG_pathway	0.045968750839388	0.0314148720177214	0.045968750839388	0.0314148720177214
ko01040	13	KEGG_pathway	0.0442854967957808	0.0322183789797273	0.0461663279542939	0.00720781211745063
ko04145	30	KEGG_pathway	0.00308415390846987	0.0514878114754377	0.046300629169971	0.0156369531250719
ko00906	10	KEGG_pathway	0.0490613898289158	0.0380709900748778	0.0472498515612101	0.0097784409703546
ko03070	8	KEGG_pathway	0.0403965213990701	0.0353491741938436	0.0478962388262433	0.0161764396914074
ko05168	19	KEGG_pathway	0.0420595459618007	0.0591844234636331	0.0482267719878186	0.0138970323079865
ko04540	15	KEGG_pathway	0.0212540681672408	0.0426062579082868	0.0486691862955653	0.0198733169337144
ko04066	18	KEGG_pathway	0.0309130992206093	0.0778631062804597	0.0496188746180021	0.0119194474937828
ko00909	2	KEGG_pathway	0.0496513080708374	0.0347453840173475	0.0496513080708374	0.0347453840173475
ko04919	18	KEGG_pathway	0.0273370718933125	0.051623599586154	0.0501845939330421	0.0119754149395588
ko00020	28	KEGG_pathway	0.0327976963120136	0.0415963535948044	0.0506798764457935	0.0127316608181084
ko05152	18	KEGG_pathway	0.0178692447079602	0.0514878114754377	0.0511359252392866	0.0229157666819084
ko04727	6	KEGG_pathway	0.0238854064443119	0.026510808904157	0.051224141940331	0.0237756142941401
ko00660	5	KEGG_pathway	0.0229484599817065	0.0325951233764702	0.0513966619677104	0.0298488206916238
ko05203	83	KEGG_pathway	0	0.0626937152909521	0.0516752423932021	0.0140119221297198
ko00630	22	KEGG_pathway	0.0313951376210939	0.0664001172255766	0.0519775528786282	0.011954493470526
ko04014	7	KEGG_pathway	0.0232723694973102	0.0224870617858167	0.0520081790232072	0.0294210138152687
ko00250	25	KEGG_pathway	0.0342885736310927	0.0225020183432169	0.0520461765533902	0.0121364635131637
ko04971	7	KEGG_pathway	0.0562141695962403	0.0431004122554311	0.0522383881825233	0.0158113193620163
ko01200	101	KEGG_pathway	0.0351454818208513	0.0467153441012336	0.0522629699158311	0.00627340213476603
ko04310	17	KEGG_pathway	0.0244984433913136	0.0775921983887414	0.0542570783841886	0.0154005111654882
ko05134	13	KEGG_pathway	0.0123813074149642	0.0360415941101276	0.0544181246002631	0.0312363131408681
ko03013	67	KEGG_pathway	0.0394483499753728	0.0727252550861524	0.0545322492705559	0.00717951676647785
ko01210	30	KEGG_pathway	0.035695232032911	0.0309719562553755	0.0547555452430643	0.0129399677299189
ko00195	25	KEGG_pathway	0	0.0283412621376766	0.0551845837691649	0.0204309244085217
ko00010	37	KEGG_pathway	0.0351454818208513	0.0597413242996383	0.055382744538264	0.00953221107296291
ko00120	2	KEGG_pathway	0.056147982291441	0.056147982291441	0.056147982291441	0.056147982291441
ko00920	13	KEGG_pathway	0.0403572458775716	0.0694463194775453	0.0563015354614021	0.0132962141558132
ko00364	1	KEGG_pathway	0.0563150015862956	0	0.0563150015862956	NA
ko00623	1	KEGG_pathway	0.0563150015862956	0	0.0563150015862956	NA
ko05012	42	KEGG_pathway	0.036936300528766	0.0549065359243117	0.0564513232319057	0.0115545284420419
ko04722	8	KEGG_pathway	0.0178692447079602	0.130632504674388	0.0570943536500468	0.0246449248007561
ko04918	10	KEGG_pathway	0.0526573247762792	0.0617986721713317	0.0578593087452548	0.0116488145377568
ko00281	1	KEGG_pathway	0.0581278451809067	0	0.0581278451809067	NA
ko04664	3	KEGG_pathway	0.0212540681672408	0.0624546526344666	0.0583774053111778	0.0405552719804249
ko04720	12	KEGG_pathway	0.0222632188322755	0.0263848379298564	0.0587144053500418	0.0320549131028323
ko03010	85	KEGG_pathway	0	0.0498326998508012	0.0591517906301907	0.0130624306319241
ko04112	8	KEGG_pathway	0.0524213917445856	0.0644600389056717	0.0594909577904829	0.0241361961014546
ko00240	67	KEGG_pathway	0.0472678191376341	0.0773571402341535	0.0596067476594439	0.00702678862672148
ko00791	1	KEGG_pathway	0.0600766920349325	0	0.0600766920349325	NA
ko00030	22	KEGG_pathway	0.0522959561491303	0.0649610850136399	0.0611688861314885	0.0153505054663929
ko05010	46	KEGG_pathway	0.0353824788748008	0.0573763232850112	0.0613385407479042	0.0133118141346179
ko04960	5	KEGG_pathway	0.0642052225732039	0.0485123466590413	0.0618207706666039	0.0223302145974433
ko04514	2	KEGG_pathway	0.0620341342218576	0.019173183823224	0.0620341342218576	0.0191731838232239
ko00061	13	KEGG_pathway	0.0400313071019701	0.0432094683215515	0.0626040431484523	0.019437702637817
ko00260	33	KEGG_pathway	0.0376578624600968	0.0352216208247739	0.0628597351254632	0.0138305804660831
ko03015	40	KEGG_pathway	0.0389468057760387	0.0862641966822899	0.0628888558190856	0.0110259587422295
ko05211	6	KEGG_pathway	0.0178692447079602	0.0243241870261239	0.0635172930673085	0.0505667518582865
ko04725	9	KEGG_pathway	0.0336663020252456	0.104439727896003	0.0636744234565491	0.017835762342091
ko04612	8	KEGG_pathway	0.0153630487092114	0.0384495141026787	0.0643451884929337	0.0410775464392264
ko03060	28	KEGG_pathway	0.0387709700907058	0.0570486184187502	0.064648123549866	0.0184856227340973
ko00480	27	KEGG_pathway	0.0599553089062544	0.0494021457330234	0.0649502216755304	0.00827014765498115
ko00100	12	KEGG_pathway	0.0576124823979771	0.0621284974858044	0.065047131142593	0.0126479751973181
ko03018	44	KEGG_pathway	0.0489841839875183	0.0773488689878665	0.0653438783110293	0.00973221081563286
ko03008	53	KEGG_pathway	0.0565207596436227	0.0887904245502937	0.0655871129063605	0.00802830324641265
ko00051	19	KEGG_pathway	0.0655096956729804	0.0892889199710283	0.065842388094365	0.0137324203418299
ko00592	10	KEGG_pathway	0.0585243056894419	0.0485306151506486	0.0660011976677275	0.0120310322019062
ko01120	148	KEGG_pathway	0.0446053887882524	0.0720396728993089	0.0662753541458851	0.00599696026847556
ko03022	24	KEGG_pathway	0.0563603230501465	0.0730994921326498	0.0664554859496147	0.0101465956335021
ko04152	24	KEGG_pathway	0.0426451539728947	0.0725672471067082	0.0676160558099475	0.0181417563324755
ko05205	13	KEGG_pathway	0.0244984433913136	0.113227676144633	0.0677374973464145	0.0228769884285066
ko00625	5	KEGG_pathway	0.0514017460379987	0.0209015119587985	0.0680824864050574	0.0208439197896539
ko04745	4	KEGG_pathway	0.0638560486966565	0.131973235269847	0.0681171865731905	0.0394810743633474
ko01212	31	KEGG_pathway	0.0580675071215968	0.0574554290168281	0.068303666539088	0.0104976579373784
ko04626	17	KEGG_pathway	0.0478907976274222	0.078131224017541	0.0683338487188313	0.0182390899218233
ko00720	17	KEGG_pathway	0.0469110525646006	0.0510010179566203	0.0684494957073309	0.0188509217739095
ko00970	41	KEGG_pathway	0.0424055337606064	0.0250545816181509	0.0684876606936109	0.0132856804495348
ko00254	1	KEGG_pathway	0.0691846445049975	0	0.0691846445049975	NA
ko04144	29	KEGG_pathway	0.036750172908131	0.0748726821045438	0.069482950767304	0.0162850062811433
ko04730	9	KEGG_pathway	0.0212540681672408	0.126523467023015	0.0695614235498462	0.0313179579471666
ko04064	5	KEGG_pathway	0.0613850260738929	0.0671284483385707	0.0703634114799522	0.0334553755579946
ko01110	303	KEGG_pathway	0.0472988129140126	0.0746605908430653	0.0704707360130297	0.0045217794162755
ko04914	22	KEGG_pathway	0.0391830736109168	0.0781118982994388	0.0709066995634299	0.0162858375580479
ko00983	14	KEGG_pathway	0.0595780330271745	0.0896535954059648	0.0715881655840748	0.0174381065421269
ko00400	20	KEGG_pathway	0.0460262484398981	0.0542467423416267	0.0716224189600324	0.0198090293664013
ko04921	23	KEGG_pathway	0.0418313349425919	0.117044122252946	0.0717570608469555	0.0161981494517163
ko00196	16	KEGG_pathway	0	0.0903120870096807	0.0725991774238438	0.0346920150891696
ko04723	8	KEGG_pathway	0.040356306493777	0.0979192848000787	0.0726161106951358	0.023223705266157
ko04114	34	KEGG_pathway	0.033857401523402	0.113701098060156	0.0726184927968168	0.0150264848082621
ko00740	5	KEGG_pathway	0.0598536215694403	0.0582956529990729	0.0726213433694814	0.0219616411484981
ko02010	12	KEGG_pathway	0.052913634144814	0.0791759927271795	0.0727260601476218	0.0151111839216018
ko00062	4	KEGG_pathway	0.0709906740193415	0.0220187685922212	0.0730572791972156	0.00716292782951156
ko05210	7	KEGG_pathway	0.0212540681672408	0.128032968898545	0.0733811135002203	0.0346197602270281
ko00270	32	KEGG_pathway	0.0404328151161929	0.0854422074518479	0.073850815323229	0.0169485880935554
ko00626	3	KEGG_pathway	0.0446081837141819	0.058909408058433	0.0745003301047693	0.0371504763077236
ko01220	3	KEGG_pathway	0.0446081837141819	0.058909408058433	0.0745003301047693	0.0371504763077236
ko04622	4	KEGG_pathway	0.0137197518248423	0.0785629667384299	0.0749524793231271	0.0659469839747276
ko05215	9	KEGG_pathway	0.0183447900034587	0.0193087493493327	0.0751948769074923	0.0480364491971743
ko00361	2	KEGG_pathway	0.0769525680041082	0.0206375664178125	0.0769525680041082	0.0206375664178126
ko03320	15	KEGG_pathway	0.0580675071215968	0.0811440144244221	0.0773100400115955	0.0206306953330564
ko00300	9	KEGG_pathway	0.0426072779588879	0.079160620101221	0.0774011103178165	0.0365563485396685
ko00561	19	KEGG_pathway	0.0514017460379987	0.0488961681537531	0.0776250992830106	0.0197778051278037
ko00520	32	KEGG_pathway	0.0492687024145654	0.137977497537266	0.0780763282736493	0.01545121547797
ko00670	13	KEGG_pathway	0.0466836371425317	0.0567039911582568	0.0784738668296037	0.0210224833420615
ko04010	18	KEGG_pathway	0.0238854064443119	0.087846484587388	0.0788058989403319	0.0220632474752558
ko00410	12	KEGG_pathway	0.058883593531898	0.0604369193690251	0.0789634681797038	0.0251088388104764
ko00071	16	KEGG_pathway	0.0585243056894419	0.0656463929231109	0.0791738361431844	0.0137885226946639
ko04330	8	KEGG_pathway	0.0769756845072712	0.0618369622864761	0.0796431027624494	0.0187790157759362
ko00053	14	KEGG_pathway	0.072964356841837	0.0869867569748693	0.0803260740206237	0.0164932483346619
ko04726	6	KEGG_pathway	0.0238854064443119	0.0265265945452505	0.0804689873063046	0.0528592011379696
ko00640	16	KEGG_pathway	0.061047351677073	0.0613419893129579	0.0810372352076333	0.0200803349909296
ko05032	7	KEGG_pathway	0.0562141695962403	0.0769066583962657	0.0810451351615032	0.0310478250619846
ko00330	34	KEGG_pathway	0.0503510003333835	0.0524117349572502	0.0815734182378264	0.0165078702600725
ko00040	12	KEGG_pathway	0.0745544988276571	0.0863910017228064	0.0820428079770104	0.0197653871927702
ko04068	12	KEGG_pathway	0.0257254080420051	0.0682854730625736	0.0825114514065671	0.0367659994445753
ko04022	20	KEGG_pathway	0.0577825964927204	0.114858454495055	0.0833569752653797	0.0198705515579327
ko00620	41	KEGG_pathway	0.055433433311405	0.0758622454954021	0.0837697215334818	0.0129512480109475
ko00960	7	KEGG_pathway	0.0440355502563464	0.0274574428205939	0.0842789985574604	0.0453756393982813
ko04150	11	KEGG_pathway	0.0372220739179742	0.0941248716620459	0.084302343542448	0.0391151875155981
ko00230	108	KEGG_pathway	0.0585321706748001	0.111987640252046	0.0844738479016496	0.00827054521422325
ko04141	67	KEGG_pathway	0.0495259736739018	0.113780075691903	0.0847097407122103	0.0110855368818088
ko00860	32	KEGG_pathway	0.0500714481146912	0.088959686167025	0.0848489303718045	0.0142510085193501
ko04024	19	KEGG_pathway	0.051359970412237	0.0708341129667129	0.08500583313357	0.0249076502642446
ko01100	692	KEGG_pathway	0.054100154427532	0.0980900251058389	0.0859857884915275	0.00359354146766758
ko05166	39	KEGG_pathway	0.0591376304178194	0.11278782477661	0.086176185463226	0.015318954626317
ko00750	6	KEGG_pathway	0.0323154631673383	0.160249290590638	0.0862890261687336	0.0419112258055549
ko04210	9	KEGG_pathway	0.0244984433913136	0.0513403389087105	0.0872021666297898	0.0450603436324309
ko05200	23	KEGG_pathway	0.0212540681672408	0.0870384816002194	0.0873334397442883	0.0279591541675701
ko04742	4	KEGG_pathway	0.040356306493777	0.08025001298658	0.0882775563284285	0.0541552464242613
ko04611	15	KEGG_pathway	0.0289983462203332	0.131555852485329	0.0884555093023959	0.0253443236269866
ko04666	8	KEGG_pathway	0.0614033842491004	0.0745148349852888	0.0896420483074315	0.0381519034497054
ko03030	33	KEGG_pathway	0.0611881341382068	0.129173886766885	0.0896837651595669	0.014080704378699
ko04724	10	KEGG_pathway	0.0238854064443119	0.122707701960849	0.0908652292907721	0.0398815080987903
ko00500	29	KEGG_pathway	0.0514370913617854	0.0994919399559357	0.0909836108198567	0.0195319603082076
ko04110	47	KEGG_pathway	0.0609640050116205	0.117988212450142	0.0913200413032199	0.014055824811934
ko00980	9	KEGG_pathway	0.101783295170627	0.0882533516151461	0.0924733412977228	0.0201716764355976
ko00450	16	KEGG_pathway	0.0582042448084905	0.0723637286232669	0.0925528816924904	0.023230848894456
ko05132	9	KEGG_pathway	0.0215752681988845	0.0862827401621853	0.0931462127733944	0.0423138716757138
ko04142	26	KEGG_pathway	0.0513408417695949	0.084286739913687	0.0932132908734713	0.0242507074276215
